"ConsAtMedica","cuenta"
"Coproparasitológico seriado simple (incluye diagnóstico de gusanos macroscópicos y examen microscópico por concentración de tres muestras separadas método Telemann ) (proc aut)","15"
"Cálculo urinario (examen físico y químico)","13"
"Coproparasitológico seriado simple (incluye diagnóstico de gusanos macroscópicos y examen microscópico por concentración de tres muestras separadas método PAFS) (proc aut)  ","12"
"Hemoparásitos  diagnóstico microscópico de (mínimo 10 frotis y/o gotas gruesas  c/s examen directo al fresco)  cada sesión","11"
"Coproparasitario seriado para fasciola hepática (incluye diagnóstico de gusanos macroscópicos y examen microscópico de 10 muestras por método de Telemann y simultáneamente por técnica de Sedimentación rápida (Copa Cónica)","11"
"Citológico c/s tinción (incluye examen al fresco  recuento celular y citológico porcentual)","11"
"Diagnóstico parasitario en exudados  secreciones y otros líquidos orgánicos  examen macro y microscópico de (incluye concentración y/o tinción cuando proceda)  c/u","11"
"Raspado de piel  examen microscópico para búsqueda de demodex","8"
